Date,Open,High,Low,Close,Date
18-Dec-2015,7828.9,7836.15,7753.35,7761.95,12/18/15
17-Dec-2015,7783.05,7852.9,7737.55,7844.35,12/17/15
16-Dec-2015,7725.25,7776.6,7715.75,7750.9,12/16/15
15-Dec-2015,7659.15,7705,7625.1,7700.9,12/15/15
14-Dec-2015,7558.2,7663.95,7551.05,7650.05,12/14/15
11-Dec-2015,7699.6,7703.05,7575.3,7610.45,12/11/15
10-Dec-2015,7643.3,7691.95,7610,7683.3,12/10/15
09-Dec-2015,7695.5,7702.85,7606.9,7612.5,12/9/15
08-Dec-2015,7738.5,7771.25,7685.45,7701.7,12/8/15
07-Dec-2015,7816.55,7825.4,7746.05,7765.4,12/7/15
04-Dec-2015,7817.6,7821.4,7775.7,7781.9,12/4/15
03-Dec-2015,7902.3,7912.3,7853.3,7864.15,12/3/15
02-Dec-2015,7976.7,7979.3,7910.8,7931.35,12/2/15
01-Dec-2015,7958.15,7972.15,7934.15,7954.9,12/1/15
30-Nov-2015,7936.25,7966,7922.8,7935.25,11/30/15
27-Nov-2015,7910.6,7959.3,7879.45,7942.7,11/27/15
26-Nov-2015,7837.15,7897.1,7832,7883.8,11/26/15
24-Nov-2015,7837,7870.35,7812.65,7831.6,11/24/15
23-Nov-2015,7869.5,7877.5,7825.2,7849.25,11/23/15
20-Nov-2015,7841.9,7906.95,7817.8,7856.55,11/20/15
19-Nov-2015,7788.5,7854.9,7765.45,7842.75,11/19/15
18-Nov-2015,7823.15,7843.4,7725.05,7731.8,11/18/15
17-Nov-2015,7848.75,7860.45,7793,7837.55,11/17/15
16-Nov-2015,7732.95,7838.85,7714.15,7806.6,11/16/15
13-Nov-2015,7762.45,7775.1,7730.9,7762.25,11/13/15
11-Nov-2015,7838.8,7847.95,7819.1,7825,11/11/15
10-Nov-2015,7877.6,7885.1,7772.85,7783.35,11/10/15
09-Nov-2015,7788.25,7937.75,7771.7,7915.2,11/9/15
06-Nov-2015,7956.55,8002.65,7926.15,7954.3,11/6/15
05-Nov-2015,8030.35,8031.2,7944.1,7955.45,11/5/15
04-Nov-2015,8104.9,8116.1,8027.3,8040.2,11/4/15
03-Nov-2015,8086.35,8100.35,8031.75,8060.7,11/3/15
02-Nov-2015,8054.55,8060.7,7995.6,8050.8,11/2/15
30-Oct-2015,8123.55,8146.1,8044.4,8065.8,10/30/15
29-Oct-2015,8175.45,8179.6,8098,8111.75,10/29/15
28-Oct-2015,8188.9,8209.1,8131.8,8171.2,10/28/15
27-Oct-2015,8230.35,8241.95,8217.05,8232.9,10/27/15
26-Oct-2015,8333.65,8336.3,8252.05,8260.55,10/26/15
23-Oct-2015,8308.25,8328.1,8280.75,8295.45,10/23/15
21-Oct-2015,8258.35,8294.4,8217.15,8251.7,10/21/15
20-Oct-2015,8280.3,8294.05,8229.2,8261.65,10/20/15
19-Oct-2015,8262.55,8283.05,8239.2,8275.05,10/19/15
16-Oct-2015,8193.65,8246.4,8147.65,8238.15,10/16/15
15-Oct-2015,8134.35,8190.55,8129.8,8179.5,10/15/15
14-Oct-2015,8102.4,8139.3,8096.35,8107.9,10/14/15
13-Oct-2015,8121.95,8150.25,8088.6,8131.7,10/13/15
12-Oct-2015,8231.5,8244.5,8128.2,8143.6,10/12/15
09-Oct-2015,8186.35,8232.2,8139.65,8189.7,10/9/15
08-Oct-2015,8196.75,8196.75,8105.85,8129.35,10/8/15
07-Oct-2015,8146.2,8188.9,8132.9,8177.4,10/7/15
06-Oct-2015,8180.45,8180.95,8096.5,8152.9,10/6/15
05-Oct-2015,8005.1,8128.9,8005.1,8119.3,10/5/15
01-Oct-2015,7992.05,8008.25,7930.65,7950.9,10/1/15
30-Sep-2015,7924.25,7957.7,7874.5,7948.9,9/30/15
29-Sep-2015,7725.7,7926.55,7691.2,7843.3,9/29/15
28-Sep-2015,7892.8,7893.95,7787.95,7795.7,9/28/15
24-Sep-2015,7838.4,7894.5,7804.1,7868.5,9/24/15
23-Sep-2015,7737.35,7882.9,7723.25,7845.95,9/23/15
22-Sep-2015,8014.8,8021.6,7787.75,7812,9/22/15
21-Sep-2015,7911.5,7987.9,7908.35,7977.1,9/21/15
18-Sep-2015,7967.45,8055,7955.85,7981.9,9/18/15
16-Sep-2015,7886.85,7913.9,7853.3,7899.15,9/16/15
15-Sep-2015,7867.35,7880,7799.75,7829.1,9/15/15
14-Sep-2015,7811.1,7879.95,7761.85,7872.25,9/14/15
11-Sep-2015,7833.8,7864.85,7759.9,7789.3,9/11/15
10-Sep-2015,7729.05,7819.85,7678.5,7788.1,9/10/15
09-Sep-2015,7805.85,7846.05,7764.55,7818.6,9/9/15
08-Sep-2015,7587.7,7720.9,7539.5,7688.25,9/8/15
07-Sep-2015,7685.85,7705.05,7545.9,7558.8,9/7/15
04-Sep-2015,7803.4,7804.9,7626.85,7655.05,9/4/15
03-Sep-2015,7774.45,7845.6,7754.05,7823,9/3/15
02-Sep-2015,7856.65,7862.55,7699.25,7717,9/2/15
01-Sep-2015,7907.95,7929.1,7746.5,7785.85,9/1/15
31-Aug-2015,8009.25,8043.6,7947.95,7971.3,8/31/15
28-Aug-2015,8053.7,8091.8,7961.65,8001.95,8/28/15
27-Aug-2015,7921.6,7963.6,7862.3,7948.95,8/27/15
26-Aug-2015,7865.25,7930.05,7777.1,7791.85,8/26/15
25-Aug-2015,7895.4,7925.4,7667.25,7880.7,8/25/15
24-Aug-2015,8055.95,8060.05,7769.4,7809,8/24/15
21-Aug-2015,8305.4,8322.2,8225.05,8299.95,8/21/15
20-Aug-2015,8471.05,8501.35,8359.75,8372.75,8/20/15
19-Aug-2015,8468.05,8520.45,8425.95,8495.15,8/19/15
18-Aug-2015,8505.85,8525.75,8433.6,8466.55,8/18/15
17-Aug-2015,8530.5,8530.6,8428.05,8477.3,8/17/15
14-Aug-2015,8402.35,8530.1,8381.2,8518.55,8/14/15
13-Aug-2015,8384.45,8429.5,8339.75,8355.85,8/13/15
12-Aug-2015,8445.7,8446.95,8337.95,8349.45,8/12/15
11-Aug-2015,8548.45,8556.25,8441.3,8462.35,8/11/15
10-Aug-2015,8577,8621.55,8497.8,8525.6,8/10/15
07-Aug-2015,8580.8,8595.95,8552.7,8564.6,8/7/15
06-Aug-2015,8585.8,8606.3,8551.5,8588.65,8/6/15
05-Aug-2015,8547.45,8591.85,8545.85,8567.95,8/5/15
04-Aug-2015,8564.1,8565.15,8448.25,8516.9,8/4/15
03-Aug-2015,8510.65,8563.95,8508.1,8543.05,8/3/15
31-Jul-2015,8456.1,8548.95,8448,8532.85,7/31/15
30-Jul-2015,8417,8458.9,8408.3,8421.8,7/30/15
29-Jul-2015,8365.6,8381.5,8338.45,8375.05,7/29/15
28-Jul-2015,8371.1,8397.4,8321.75,8337,7/28/15
27-Jul-2015,8492.1,8492.2,8351.55,8361,7/27/15
24-Jul-2015,8588.15,8589.15,8513.5,8521.55,7/24/15
23-Jul-2015,8643.95,8654.75,8573.8,8589.8,7/23/15
22-Jul-2015,8512.25,8643.9,8498.65,8633.5,7/22/15
21-Jul-2015,8601.5,8646.75,8517.9,8529.45,7/21/15
20-Jul-2015,8623.9,8624.1,8559,8603.45,7/20/15
17-Jul-2015,8623.65,8642.95,8593.15,8609.85,7/17/15
16-Jul-2015,8546.15,8616.1,8542.9,8608.05,7/16/15
15-Jul-2015,8463.4,8531.4,8462.95,8523.8,7/15/15
14-Jul-2015,8470.6,8480.25,8424.1,8454.1,7/14/15
13-Jul-2015,8397.25,8471.65,8355.4,8459.65,7/13/15
10-Jul-2015,8365.7,8377.1,8315.4,8360.55,7/10/15
09-Jul-2015,8364.85,8400.3,8323,8328.55,7/9/15
08-Jul-2015,8439.2,8457.5,8341.4,8363.05,7/8/15
07-Jul-2015,8525.5,8561.35,8483.85,8510.8,7/7/15
06-Jul-2015,8386.15,8533.15,8386.15,8522.15,7/6/15
03-Jul-2015,8440.1,8497.75,8424.15,8484.9,7/3/15
02-Jul-2015,8471.95,8479.25,8433.2,8444.9,7/2/15
01-Jul-2015,8376.25,8481.6,8370.15,8453.05,7/1/15
30-Jun-2015,8316.35,8378,8298.95,8368.5,6/30/15
29-Jun-2015,8247.05,8329.45,8195.65,8318.4,6/29/15
26-Jun-2015,8393.95,8408.55,8339.7,8381.1,6/26/15
25-Jun-2015,8336.25,8423.15,8329.5,8398,6/25/15
24-Jun-2015,8399.4,8421.35,8338.9,8360.85,6/24/15
23-Jun-2015,8377.45,8398.45,8334.95,8381.55,6/23/15
22-Jun-2015,8259.3,8369.45,8257.4,8353.1,6/22/15
19-Jun-2015,8201.15,8250.8,8195.65,8224.95,6/19/15
18-Jun-2015,8113.7,8186.9,8101.8,8174.6,6/18/15
17-Jun-2015,8084.2,8136.85,8048.95,8091.55,6/17/15
16-Jun-2015,8004.2,8061.85,7952.35,8047.3,6/16/15
15-Jun-2015,7986.6,8057.7,7944.85,8013.9,6/15/15
12-Jun-2015,7959.85,7995.6,7940.3,7982.9,6/12/15
11-Jun-2015,8157.3,8163.05,7958.25,7965.35,6/11/15
10-Jun-2015,8024.15,8152.25,8023.8,8124.45,6/10/15
09-Jun-2015,8026.5,8057.15,8005.15,8022.4,6/9/15
08-Jun-2015,8124.35,8131,8030.55,8044.15,6/8/15
05-Jun-2015,8119.15,8191,8100.15,8114.7,6/5/15
04-Jun-2015,8155.15,8160.05,8056.75,8130.65,6/4/15
03-Jun-2015,8232.45,8236.7,8094.15,8135.1,6/3/15
02-Jun-2015,8442.8,8445.35,8226.05,8236.45,6/2/15
01-Jun-2015,8417.25,8467.15,8405.4,8433.4,6/1/15
29-May-2015,8327.1,8443.9,8305.7,8433.65,5/29/15
28-May-2015,8345.7,8364.5,8270.15,8319,5/28/15
27-May-2015,8302.75,8342.85,8277.95,8334.6,5/27/15
26-May-2015,8377.1,8378.9,8320.05,8339.35,5/26/15
25-May-2015,8438.15,8441.95,8364.15,8370.25,5/25/15
22-May-2015,8432.5,8489.55,8420.6,8458.95,5/22/15
21-May-2015,8434.5,8446.35,8382.5,8421,5/21/15
20-May-2015,8392.65,8440.35,8391.45,8423.25,5/20/15
19-May-2015,8356.2,8427.8,8335,8365.65,5/19/15
18-May-2015,8284.95,8384.6,8271.95,8373.65,5/18/15
15-May-2015,8240.3,8279.2,8212.2,8262.35,5/15/15
14-May-2015,8232.45,8236.25,8137.3,8224.2,5/14/15
13-May-2015,8181.55,8254.95,8089.8,8235.45,5/13/15
12-May-2015,8326.15,8326.65,8115.3,8126.95,5/12/15
11-May-2015,8243.2,8332.75,8224.65,8325.25,5/11/15
08-May-2015,8131.5,8224.95,8123.45,8191.5,5/8/15
07-May-2015,8077,8122.6,7997.15,8057.3,5/7/15
06-May-2015,8316.6,8331.95,8083,8097,5/6/15
